Country,C02 emissions in 1999,CO2 emissions in2018,AbsoluteChange(1999-2018)
Afghanistan,"8,09,512",10450000,0.09640488
Albania,"8,09,512",5400000,0.04590488
Andorra,"5,12,960","4,64,210",-0.0004875
Angola,9130000,37680000,0.2855
Anguilla,"80,608","1,47,145",0.00066537
Antigua and Barbuda,"2,82,128","5,05,574",0.00223446
Argentina,147290000,185030000,0.3774
Armenia,3050000,6300000,0.0325
Aruba,"8,09,744","9,43,234",0.0013349
Australia,344060000,415950000,0.7189
Austria,65560000,66720000,0.0116
Azerbaijan,28570000,37490000,0.0892
Bahamas,1950000,2030000,0.0008
Bahrain,17990000,31590000,0.136
Bangladesh,25080000,85720000,0.6064
Barbados,1160000,1210000,0.0005
Belarus,54980000,61870000,0.0689
Belgium,124720000,100210000,-0.2451
Belize,"3,48,080","6,12,205",0.00264125
Benin,1540000,7760000,0.0622
Bermuda,"5,12,960","6,48,945",0.00135985
Bhutan,"3,70,761",1660000,0.01289239
Bolivia,10380000,22350000,0.1197
Bonaire Sint Eustatius and Saba,"95,080","3,43,337",0.00248257
Bosnia and Herzegovina,10330000,22090000,0.1176
Botswana,3160000,6820000,0.0366
Brazil,316280000,466650000,1.5037
British Virgin Islands,"1,20,912","1,73,555",0.00052643
Brunei,3800000,9560000,0.0576
Bulgaria,46370000,43550000,-0.0282
Burkina Faso,"9,14,173",4140000,0.03225827
Burundi,"2,52,816","5,68,028",0.00315212
Cambodia,1890000,15480000,0.1359
Cameroon,3000000,7570000,0.0457
Canada,549550000,586500000,0.3695
Cape Verde,"1,83,200","6,09,509",0.00426309
Central African Republic,"2,63,808","3,00,478",0.0003667
Chad,"4,76,320",1010000,0.0053368
Chile,60910000,85830000,0.2492
China,3260000000,9960000000,67
Colombia,54760000,92230000,0.3747
Comoros,"91,600","2,45,927",0.00154327
Congo,"3,62,736",3520000,0.03157264
Cook Islands,"47,632","72,706",0.00025074
Costa Rica,5440000,8250000,0.0281
Croatia,20120000,17720000,-0.024
Cuba,25180000,26080000,0.009
Cyprus,6880000,7330000,0.0045
Czechia,116620000,104410000,-0.1221
Democratic Republic of Congo,1320000,2230000,0.0091
Denmark,58620000,34650000,-0.2397
Djibouti,"3,40,752","3,89,975",0.00049223
Dominica,"80,608","1,66,009",0.00085401
Dominican Republic,18380000,25310000,0.0693
EU-27,3600000000,3050000000,-5.5
EU-28,4160000000,3430000000,-7.3
Ecuador,21370000,41820000,0.2045
Egypt,124500000,251460000,1.2696
El Salvador,5590000,6020000,0.0043
Equatorial Guinea,"3,70,064",5910000,0.05539936
Eritrea,"6,15,095","7,08,769",0.00093674
Estonia,15650000,17710000,0.0206
Eswatini,1240000,"9,87,951",-0.00252049
Ethiopia,3090000,16180000,0.1309
Europe,6160000000,5600000000,-5.6
Europe (excl. EU-27),2570000000,2560000000,-0.1
Europe (excl. EU-28),2010000000,2180000000,1.7
Faeroe Islands,"6,30,208","7,05,453",0.00075245
Fiji,"7,75,023",2120000,0.01344977
Finland,58890000,45850000,-0.1304
France,421700000,331730000,-0.8997
French Polynesia,"4,98,304","7,80,633",0.00282329
Gabon,4790000,4800000,0.0001
Gambia,"2,74,800","5,63,240",0.0028844
Georgia,4310000,9860000,0.0555
Germany,895640000,755360000,-1.4028
Ghana,6370000,14480000,0.0811
Greece,97960000,71800000,-0.2616
Greenland,"3,73,728","5,11,728",0.00138
Grenada,"1,94,192","2,78,597",0.00084405
Guatemala,8810000,19410000,0.106
Guinea,1430000,3030000,0.016
Guinea-Bissau,"1,94,192","3,08,612",0.0011442
Guyana,1830000,2340000,0.0051
Haiti,1310000,3370000,0.0206
Honduras,4650000,10470000,0.0582
Hong Kong,42550000,42510000,-0.0004
Hungary,61910000,49630000,-0.1228
Iceland,2850000,3670000,0.0082
India,951670000,2590000000,16.3833
Indonesia,243950000,576580000,3.3263
International transport,765730000,1260000000,4.9427
Iran,379630000,755400000,3.7577
Iraq,71680000,211270000,1.3959
Ireland,42440000,38800000,-0.0364
Israel,54750000,62210000,0.0746
Italy,464550000,348090000,-1.1646
Jamaica,9960000,8010000,-0.0195
Japan,1240000000,1140000000,-1
Jordan,14270000,24920000,0.1065
Kazakhstan,124950000,319650000,1.947
Kenya,10030000,17140000,0.0711
Kiribati,"29,312","68,879",0.00039567
Kuwait,53820000,104220000,0.504
Kyrgyzstan,4650000,10170000,0.0552
