Country,CC,TC,FC
Albania,0.04590488,0.97424658,0
Angola,0.2855,0.02520548,0
Antigua and Barbuda,0.00223446,0.07150685,-101465.17
Armenia,0.0325,1.003835616,176.5
Austria,0.0116,1.360547945,143.13
Bahamas,0.0008,0.58712329,-47696
Bahrain,0.136,0.55616438,-39.59
Bangladesh,0.6064,-0.83369863,-12.66
Barbados,0.0005,-0.21643835,19841.9
Belarus,0.0689,0.275068493,600.77
Belgium,-0.2451,0.67945206,1257.43
Bhutan,0.01289239,-0.48246575,774.46
Bolivia,0.1197,0.11315069,-656.2
Bosnia and Herzegovina,0.1176,1.51780822,-9700
Botswana,0.0366,0.22191781,-9501.1
Brazil,1.5037,0.44465754,-369.283
Brunei,0.0576,0.32958904,4968
Bulgaria,-0.0282,0.79260274,3.05
Burkina Faso,0.03225827,0.61260274,0
Burundi,0.00315212,-0.06657535,664.25
Cambodia,0.1359,0.6350685,5149
Canada,0.3695,-1.22109589,-1740.03
Cape Verde,0.00426309,0.05917808,0
Central African Republic,0.0003667,0.38767123,-41184.83
Chad,0.0053368,-0.00054795,-558181.4
Chile,0.2492,0.236164383,0
China,67,-0.036438356,1250.48
Colombia,0.3747,0.56520548,-22477
Comoros,0.00154327,0.38273973,-5700
Democratic Republic of Congo,0.0091,0.27671233,-8469.96
Congo,0.00025074,0.59013699,703.18
Cook Islands,0.0281,0.3509589,22049.11
Costa Rica,-0.024,0.44082192,412044.86
Cuba,0.0045,0.46630137,-12352.61
Cyprus,-0.1221,0.88410959,-162140.1
Denmark,-0.2397,0.689863014,-34172.84
Djibouti,0.00049223,0.46465753,-83.18
Dominica,0.00085401,-0.02767124,78.34
Dominican Republic,0.0693,0.24383561,1398.92
Ecuador,0.2045,0.6369863,8447
Egypt,1.2696,0.89013698,20.1
El Salvador,0.0043,0.49479452,369.67
Equatorial Guinea,0.05539936,0.44082192,704
Eritrea,0.00093674,0.42547945,0.4
Estonia,0.0206,0.532876713,-2.44
Eswatini,-0.00252049,0.6539726,589.76
Ethiopia,0.1309,0.45890411,1932.08
Faeroe Islands,0.00075245,0.576986302,-11943.01
Fiji,0.01344977,0.21342466,-126.9
Finland,-0.1304,1.046575342,-600.4
France,-0.8997,0.94712329,17885.87
Gabon,0.0001,0.53260274,2028.09
Gambia,0.0028844,0.29342465,-13870
